!DOCTYPE/Slow,lewi,internationallyagreed
"as/G- WANTS,adop,Febraury
Campbel/positon,FebruaryApril,yet.
Campeau/garfinckel's,Stori,ALLIED STORES
Campeau Corp/garfinckel's,Stori,Garfinckel
Canada/Hurt,Thursdai and,nonbroadcast
Canada British/TransCanada announced,MAY BUY,debtladen
Canada Development/depot,CDC,biolog
Canada Ltd/Jovanovich Inc,Edition,W.B Saunders
Canada Ltd.,/Canada Ltd,Jovanovich Inc,W.B Saunders
CanadaDome/Staci,Amoco Corp's,Amoco Canada
Canadian/minerals,Elders,04300101
Canadian Bashaw/Bashaw,Erskine,CANADIAN BASHAW,
Canadian Home/CANADIAN HOME,CWS.TO,SHOPPING
Canadian Imperial/IMPERIAL OIL,IMO.A,Edmonton
Canadian Import/advises,duty,cutting
Canadian bottling/CocaCola Bottling,regulatroi,nmln
Canadian dlr/Continent Bank,Lloyds,retract
Canadian interest/tugofwar,publiclytraded,Petroleum.
Canadian solution/tugofwar,publiclytraded,Petroleum.
CanadianU.S/globe.,U.S.Israeli,israeli
Canadiandlr/Staci,CanadaDome,Amoco Corp's
Canam/truss,manac,canam
Canam Manac/Canam,truss,manac
Canari/canary,HolsteinFriesian,May 1987-October,
Canberra/Button,FEAR DAMAGE,farreaching
Canbra/Union Enterprises,Macluan,CBF.TO
Canion/cpq,Rod,COMPAQ
Cannon/STN,victor,ASSETS
Cannon International/Viva,theatric,INTL
Canron/Canam,truss,manac
Canton/RTC,Rochest Telephone,rochester
Cape/onsite,minerals,Miner Ltd>
Capel/Button,farreaching,Matsushita
Capel and/entrenched,Chihiro,Kyoto
Capit/BorgWarner because,guards,Centerbank
Capit Corp>/compact,Montrose,Dunhill
Capit Markets/Financ NV,Curacao,Deutsch
Capit N.V.,/note The,Texaco Capital,N.V. convertible
Capit is/trction,ferruzzi,Soya Co
Capitain/Geelong,berth,Wallis
Capital/U.S For,trafalgar,Trafalgar House
Capitalis/Caricom,Barbado,interregion
Capitol/East demonstrates,protected,supplant
Captial/AA-,Acceptanc,lenders
Caraca/February public,Domingo,brother
Caraca free/Cambio,Domingo,brother
Caracas/humanrights,economic.,temper
Caracasbased/February public,detrimental.,nonrescheduled
Carbid/BorgWarner because,Armen,Chemical
Carbid Canada/Petromont,liquids,IPIPF.O
Carbon/Net finance,Crucibl,ceram
Carburos/Lind,Duffour et,Metalico
Card/said Separately,,NATL COMPUTER,DELUXE CHECK
Cardena/objective,quota Rosenbaum,UNCERTAINU.S
Cardenas/objective,quota Rosenbaum,CTS
Cardi/CDS,brokerage,deRos
Cardin/AINV.O,ameribanc,cardinal
Cardiovascular/BristolMyers of,smls,bristolbmydeal
Cardis/CDS,brokerage,deRos
Care/NPO Therapies',Mutchie,NPO Therapies
Caremark/bax,Laboratori,baxter
Caremark Inc/Carmark,Newport,VOTE
Carey/Hemisphere,Enquiri,Whitehous
Cargil/cargill,londonbased,Soybeans
Cargo/ports,altogether,disrupted
Caribbean/N.Y TANKERS,Barbado,mind.
Caricom/Barbado,Capitalis,interregion
Carl/happy,preferreds,Elders
Carl C./TWA,Tran World,twa
Carl Icahn/Things,TELEX,World Airlines
Carl O'Keefe/Telegraph Plc),Marai,Daily
Carling/Holdings,Elliott,Rothman International
Carlo/Official said,Venezuela volatile,Dominguez
Carlo De/Industri Buitoni,buitoni,vismara
Carlo Romero,/Around,appeals,disturb
Carlson/Caico,son,SCANDINAVIA
Carmark/Newport,caremark,VOTE
Carnei/CANADA TO,U.S over,Pat
Carol/Chevron Exploration,Foreman,labels
Carol Mackoff./forestalled,bridesmaid,resignation
Carolco/music,orbis,Okinow
Carolco Pictures/music,orbis,Okinow
Carolina/NCNG,unwit,PNY
Caron/Internat Coffee,november,reintroduced
Carpent/Rumour,price Share,approaches
Carri/renounc,patienc,patience
Carrol/unduli,CDI,Hoel
Carrol McEntee/Singer,Taken,forefront
Carryov/applies,dismayed,producers,
CarseyWerner/Cosbi,Amusement,motion
Carson/Stow,Telecomput,Dobb
Carson Pirie/Dobb,Greyhound will,proxy
Cartagena/downvalu,February public,Angel
Cartagena to/downvalu,arduou,panacea
Cartegena/downvalu,arduou,panacea
Cartel Security/Agenci Inc,Detect,Nation Park,
Carter/Evanston Ill.,,gyrat,securities.
Carter Hawley/chh,Hale Stores,CARTER HAWLEY
Casablanca/Legionario,Constanza,Radnik
Cascad/Gre from,perfumes,cascade
Cascade/Cascad,Gre from,perfumes
Casey/Evanston Ill.,,gyrat,mushroom
Cash/dollarbased,ita,Texa Sour
Casino/PROPOSES,TAKE CHARGE,,recentlyopened
Caspar/awful,Apparent,Hoel
Caspian/Aqazadeh said,Neka,UNION TO
Castl/ninecounty,Tandem,Keller
Casualti/NSIC.O,NATIONAL SECURITY,Nation Security
Catalog/ssmc,ssm,Murfreesboro
Catel/IDC Services,stock MIM,IDCS.O
Caterpillar/-pct,Doni,caterpillar
Caterpillar Inc,/-pct,Doni,caterpillar
Catherines/Ark. and,Heers,Texa and
Cato/harmoni,Mulroney,U.S.CANADA TIES
Cattl/sake,U.S FEEDER,longstand
Cavaco/Livre,shaken,Lisbon
Cazenov/Ranger Oil,U.S dlr,rgo
Cebu/scaleddown,memorandum,ATLC.MN
Cecil/CIP Inc,,height,CANADIAN PACIFIC
Cehav NV/Pex,Veghel,compounder
Celanes/Oy,MTBE,Hoechst AG
Celanes Corp>/North Carolina,celanese,decrib
Celeron/celeron,Goodyear Tire,Mercer
Celltron Inc/CELT,DECLARES ONE-FOR-10,celltronics
Cellular/sportschannel,wpo,CELS.O
Cellular Communications/CELLULAR COMMUNICATIONS,nonwireline,CLOSES
Cellular Inc/CELS.O,CELLULAR INC,Michigan Cellular
Cement/Pillar,Borax,Rio Tinto-Zinc
Censu/TotalY,mediumshort,1.
Cent/Woburn,WOBURN FIVE,WOBS.O
Cent Savings/equals.,BFCS.O,Spiller
Cental/Capit is,trction,ferruzzi
Centel/disclos With,Welbac,centel
Centel Corp/Welbac,UBS,cnt
Center/CDI,Ellen,Bowl
Center Inc./SALE OF,CYL,CYCLOPS
Center in/Pleasanton,CAL FED,Best
Centerbank/CENTER,Burgdorff,Cornerston
Centers/Judg,HUM,insolv
Centr/Airlin System>'s,Skanska,Chines capital.
CentraBank/NCNB,NCNB Corp,ncnb
Central/XIll,involuntari,Evanston Ill.,
Central Soya/Inc to,Soya,Shamrock Capital
CentreWest/Sul,queue,sacks
Centuri/American Century,collectible,restates
Centuri Communications/CCC.O,rican,ML
Centurion/ATLANTIC FINANCIAL,Atlantic Financial,l
Cereal/precipitation,Board ONIC,,spotti
Ceroni/Argimont,fertliz,agrimont
Certain/talyzin,intertwin,outline
Certainli/NEDA,fernandez,Treasury
Certainly/NEDA,grasp,Hormat
Certif/upland,SLM,Adjustment
Certifi Security/Nation Park,,Agenci Inc,Cartel Security
Cetu/Earlier Squibb,develp,Fild Squibb
Cetus/Earlier Squibb,develp,Fild Squibb
Ceylon/SRI LANKAN,templ,Sri Lanka,
Ceylon Petroleum/price Last,offload,Zakum crude
Cha P./SORGSRG,SERVICE RESOURCES<SRC>,UNIT CUTS
Chaco/feared,Santa Fe,Entre
Chainwid/usf,USACAFES LP,Avg
Chairman/BorgWarner because,CIIF,successfully
Chamber/U.S Technology,U.S Commerce,R P.
Champion Home/Northtown,chb,Cai
Champion Products/ch,CHAMPION PRODUCTS,19000401 24
Champlin/N.Y TANKERS,East Coast,Atlantic Coast
Chancellor/Hurt,sterilis,Bundesbank council,
Chanceri/Bank Building,COURT UPHOLDS,bb
Chandler/Nivison,cantrade,IRT Property
Chang/Local and,Capel and,dim
Channel/Biloxi,Borden said,Rohm
Chanthong/Pattamapong,study,succe
Chaparr/AMR,MAIR.O,METRO AIRLINES
Chaparr provides/AMR,MAIR.O,METRO AIRLINES
Chaper/Kinnear,Jamail,overturn
Chapman/Colleg,Orange,Robert Heller,
Chapter/capacity.,chapter,Kaiser
Charad/poland,FSO,JapanPoland
Chare/prelet,Greycoat,Embankment
Charg/summon,Baqeri,refut
Charl/BorgWarner because,excellent,Wyly
Charl Redman/He was,welcome.,deterrent
Charmglow/Atcor Inc,While Roth-American,Turco
Charter/U.N. CLAIMS,Silkworm missile,04300101
Charter Oak/fct,INVESTMENT PARTNERSHIP,Facet
CharterCrellin/agh,Pend,CHARTERCRELLINCRTR.O
Chartham Management/Ore,nher,Salem
Chase/capacity.,Apparent,Indosuez
Chase Bank/Dave,Indosuez,remedy?
Chase Corp/Entregrowth,entregrowth,america.
Chase Manhattan/Advantag,checks,03700101
Chattanooga/Dec 11,FCHT.O,Nov
Cheadle/agrreement,nominal.,Pak fell
Check/datacard,Delux,Hennepin
Cheleden/Liberti Financial,equimark,EQK
ChemLawn/ecl,ECOLAB INC,nonrecurring
Chemetron/Railwai Appliances,products,,True
Chemetron Railway/Railwai Appliances,Allegheni Axle,ALLEGHENY INTERNATIONAL
Chemic/BorgWarner because,polyphenyls,sights
Chemic Bank/plough,Marin Midland,Specul
Chemic Inc,/paint,Pace,Armen
Chemic New/Nonaccruing,Quito,EXPENSES
Chemical/paint,Pace,Armen
Chemin/railways,Man,TGV
Chen/Steve,likely,taiwan
Chene/SUPERMARKETS,SAINSBURYS TAKING,J Sainsbury
Chesebrough/sometime,tenni,Co American
ChesebroughPond/tenni,Stauffer,wellknown
ChesebroughPonds/sometime,Co American,Kaplan
Chester/piezo,Corpor Life,Piezo
Chevron/Tandem,civic,ninecounty
Chevron Corp/UNC,unc,CUTS UNC
Chevron Exploration/TNS,multiplatform,CHEVRON N.SEA
Chew/entrenched,Chihiro,Capel and
Cheyenn/Weld,CHYN.O,Colo
Cheyenn Resources/Cheyenn,Weld,CHYN.O
Cheyenne/Wyo.,pointofpurchase,Ranchman
ChiCheng told/Local and,slowly,Keh
Chibougamau/Northgat Exploration,hourlypaid,northgate
Chicago/Maybe,comment GAF,USDA cut
Chicago Mercantile/guesstimates,guesstim,floor
Chicago Pacific/cpac,PACIFIC,Frere
Chicagobased/BorgWarner because,MAY BUY,comment Last
Chicagobased Coronet/Sunstat,tab,tandy
Chicheng told/Chienhsien,boui,Chien
Chicoutimi/Telegraph chief,holllinger,year Daily
Chief/Staff,free.,terror
Chien/boui,U.S Dollars,Chicheng told
ChienShien/Local and,slowly,Keh
Chienhsien/boui,Chien,U.S Dollars
Chigaga/IMFinspired,DONORS STILL,openli
Chihiro/entrenched,Capel and,Kyoto
Child/Magic Years,MAGIC YEARS,KIDS.O
Chile/SEE,temper,flows.....In
Chilton/guards,BorgWarner because,Burke
Chiluba/Protract,hierarchy,landlock
Chimerin/West Coast,startled,awhil
Chimie/Monsanto Chemical,EuropeAfrica,MONSANTO TO
Chimies/biphenyl,Monsanto Co,Gilotherm
China/Condon,grainproducing,xminus
China Light/Kowloon,CLPH.HK,Schroders
China Malaysia/Sinc then,mexico,,Egil
China News/Kang,grainproducing,03970101
China that/Jolli,managers,Aluvic
Chinabased/Jolli,China that,managers
Chines/grainproducing,provinces,U.S Commerce
Chines International/Chit,Surivitchpan,Teck Soon
Chines capital./Airlin System>'s,Skanska,-room
Chinesemade/gunboat,sabotag,Istyle
Chino/Comex,sights,said During
Chip/Washington laying,Asahi,refut
Chirac/currrenc,hourlong,unblock
Chit/Chines International,Surivitchpan,Teck Soon
Chittagong/dockworkers,navy,anchorage
Chri/ounces,pact.,externally
Chrispu/mozambique,Kiyonga,Gabon
Christian/leadmanage,West Coast,startled
Christians/boil,plunged,Accord.
ChristieTyler/Continental Simmons,Gulf and,<gw>,
Christma/gunboat,Istyle,Liberianflagged
Christoph/GROUP CUTS,predictable,zondervan
Chrobok/Bundesbank council,,CDU,adequately
Chronowitz/Maybe,pronounc,believe
Chronowitz said./Maybe,pronounc,believe
Chrysler/unforeseen,visual,AM
Chrysler Corp/unforeseen,visual,AM
Chrysler Corp's/Mich,Bodi Shop,Motech Auto
Chrysler Motors/Mich,Chrysler Corp's,Bodi Shop
ChuKai/suits,BFI,BrowningFerris Industries
Chun Doo-hwan/Concepcion,U.S Commerce,Ho
Chung/Minist Chun,forseeabl,Planning
Cia/Linar,physicals,balanced
CibaGeigy/salary,retention,said Spectra-Physics
CibaGeigy Corp./salary,retention,said Spectra-Physics
Cie/Morgan Guaranty,Macyro,locksmith
Cigar Business/cigar,Inc RJ,rjr
Cincinnati/Biloxi,Borden said,Rohm
Cincinnati Bell/auxt,CSN,CINCINNATI BELL
Circl/BLUE CIRCLE,BCIL.L,capitalis
Circl Express/OVERLANDOVER.O,CIRCLE EXPRESS<CEXX.O>,Overland
Circuit/Cadwalad,anititrust,apex
Circul/unch,apr,Convert Currency
Cite/nonbind,isnt,arrrang
Citgo/Southland Corp's,SWeet,southland
Citgo Petroleum/SWeet,dlrsbarrel,Southland
Citi/Istyle,Bowl,buiness
CitiCorp/HFD,cci,AHM
Citibank/preval,Gillette,Argentin Economy
Citibank A/S/CMB.N,susbidiari,CCI.N
Citibank Ltd/citibank,retreat,Citibank
Citibankled/August 1985.,innov,haunt
Citicorp/SEE,flows.....In,cci
Citicorp proposal/Oakland,CITICORP,FED ALLOWS
Citizen/guinea,retrospect,tfc
Citru/imports.,reimpos,Pasta
City/Bowl,Wyly,buiness
Civil/DFC,whollygovernmentowned,if
Claim/INTERRUPTED,Telediffus,Franc outstanding
Clara/PIO.AL,Followin,piosec
Clarenc/Bradford,runup,IAD
Clarendon/propertyliability,Transamerica,Commer Risk
Clark/ounces,Greenshield,torrid
Clark Copy/COPY INTERNATIONAL>,Interact,Aid
Class/SDWK.L,completing,ELECTRONIC TELE-COMMUNICATIONS
Class A/quarterlies,DEPARTMENTS,A.O SMITH
Classic/Dunhil,compact,principals
Clau/lacklustre,scarc,counterpoint
Clau Koehler/prevented,Hence,prereleased
Clayton/refut,israeli,Washington laying
Clean/FIRM,Tank,Allwast
Clear/Englebright,exfarm,subdu
Clearly/DFC,opportunity,BANK CAN
Clearview/Spiegler,Schwartz,Bake Corp>
Cleburne/Longview,Okla Pengo,Manufactur Division
Cleopa/pricestaxes,tolls,servant
Clercq/unsatisfi,byproducts,hake
Cleveland/Septemb 19.,TRANSOHIO,Columbu
Cleveland headquarters/Standard said.,Standard shares,SRD
Clevit/Psarouthakis,clevite's,unfriendli
Clevit Industries/unfriendli,clevite's,NASDAQ at
Clinic/DATA MED,CLINICAL,SUPPORTDMCS.O
Clinton/reduced,Condon,LDCO.O
Close/notforprofit,outrag,Waseda
Close of/UCCEL,outstand According,Stock Exchange
Club/reassures,vista,further.
Co/BBB,tdy,cci
Co "We've/needed.,gentli,ordinarili
Co <BSC>/stearns,American Stock,personel
Co American/sometime,Kaplan,MORE AMERICAN
Co But/Overproduct,Saudis,Industri Ressearch
Co GE/Ahtes,Selvag,Kraft Inc's
Co International/Reserv Chairman,revives,VOLCKER DEPARTURE
Co Ltd/CANADA STOCKS/DOME,awfully,possibilities
Co Pte/centgallon,gmlead,centsbarrel
Co South/McGrawHill Inc,apartheid,mcgrawhill
Co Transamerica/SDWK.L,sedgwick,Transamerica Corp's
Co a/MIDL.O,midlantic,BankNorth
Co analyst/BorgWarner because,heck,Rose said,
Co of/refining,Electrolyt,electrolytic
Co./settlements,Omni,Maybe
CoMED/TLHT.O,Denville,subscribers
CoMED Inc/CoMED,TLHT.O,Denville
Coast/Seattl,EXTENDS MID-GRADE,droughtinduced
Coast Savings/Corp on,FSLIC since,Joaquin
CoastU.S/N.Y TANKERS,East Coast,Atlantic Coast
Coastal/apex,Cadwalad,anititrust
Coastal Corp/cgp,June 17.,coastal
Coat/Sale 285.9,FACTORY,bcf
Cobacked/Secruti,DTX.T,Acqusit
Cobr/cobre,Outokumpu Oy,outokumpu
Cobre/cobre,Outokumpu Oy,outokumpu
CocaCola/Canadian bottling,regulatroi,nmln
CocaCola Bottling/Canadian bottling,regulatroi,nmln
Cochran/Jacquelin,Crane,marley
Cocoa/Rights,future. Malaysian,Yaound
Coconut/rider,neighbourhood,CIIF
Code/TEXACO,NEDA,corporates
CodeAPhone/computerrelated,architectur,sait
Coebergh/heineken,successfully,malt
Coesfeld West/Kommanditgesellschaft,Banquier,Schallplattentruh
Coffe/droughtinduced,registraion,relabel
Coffe Organisation/Costa Rican,growers,guatemala
Coffe Organization,/everyone.,droughtinduced,reality
CofideCompagnia/FIVEYEAR,SA said.,Turin
Cohen/CSR offer,?,achieve
Cojuangco/neighbourhood,CIIF,contravent
Coke/Canadian bottling,CocaCola Bottling,regulatroi
Colin/Entregrowth,entregrowth,america.
Colland/GrammRudman,Silvia,refuel
Collander/GrammRudman,Silvia,refuel
Colleg/Orange,Robert Heller,,Chapman
Colo/Cheyenn,Weld,Cheyenn Resources
Colo./Aspen,Fund Ltd,,DLOG.O
Cologn/blockage,Duisburg,sunken
Cologne/Cologn,blockage,Duisburg
Colombia/droughtinduced,SEE,flows.....In
Colombian/objective,-km,leftist
Colombian pipeline/tremor,pacif,Romoleroux
Colombo/shortcov,nonviolent,Buddhist
Colon/Temuco,resume,tremor
Colonel/Implement,Lang,Sitiven
Coloni/ladd,Dauphin Deposit,dapn
Coloni BancGroup/Hartselle,Bank and,Ala.
Coloni Bancgroup/Destin,Pensacola,COLONIAL BANCGROUP
Coloni subsidiary,/Coloni to,Colonia,Dauphin
Coloni to/Colonia,Dauphin,Dauphin Deposit
Colonia/Coloni to,Dauphin,Dauphin Deposit
Colonial/Coloni to,Colonia,Dauphin
Colorado/MDC,todai The,Winlei
Colorado due/shale,fluidized,solids
Colson/BANCORPORATION,Loan 1.1,WASHINGTON
Colt Industries/Dowti,Woodvil,Engineer Ltd
Columbia/Florida and,substnati,virtually
Columbia Aluminum/Commonwealth Aluminum,wouldbe,Hermiston
Columbia Gas/PGA,denial,Btu
Columbia held/CLT,outcom Cominco,,Lornex
Columbian/noncopper,sights,dodge
Columbu/Septemb 19.,TRANSOHIO,TransCapit Financial
Columbus/Septemb 19.,TRANSOHIO,Columbu
Colvil/Kohlberg,Union Texas,Delta
Comalco/Commonwealth Aluminum,Columbia Aluminum,wouldbe
Comanav/Legionario,Casablanca,Pallic
Combin/Slow,Dedham,report,
Combust/Juli It,Schuykil,ucu
Comdata/Stow,cdn,Anderson
Comdata Network/Stow,Comdata,cdn
Come/projections,yes.,lagging
Comerci/cajamarquilla,majeur,Minero Peru
Comex/Kennecott,tailgat,todai A
Cominco/voted,Lornex,gundy
Cominco Ltd/British Columbia,gundy,Fish
Coming/neighbourhood,CIIF,contravent
Comission/partners,,GabelliRosenthal,GAMCO
Comit/Pex,Veghel,compounder
Comite/Pex,Veghel,compounder
Command/alQassem,offens,Ahvaz
Comment/Matabeleland,facesaving,reader
Commer/FUNC.O,First Union,Port Bank,
Commer Risk/propertyliability,Transamerica,reinsurance
Commerc/customs,Cynthia,Americanmade
Commerc Undersecretary/Farren,J Michael,dept
Commerc and/Concepcion,U.S Commerce,Ho
Commerce/Hous Armed,lastditch,atrocious.
Commerci/Local and,Rev 618.4,spotnext
Commercial/frills.,involuntari,frills
Commerzbank/Bundesbank council,,CDU,adequately
Commiss/Reuter Ramon,nonbroadcast,European Community's
Commiss President/DELORS CALLS,quickly.,profoundly
Commiss charged/Kern,Septemb to,DeBartolo
Commiss proposed/MacGregor,opposition,19000617
Commiss sources/authorised,deadline,nonEC
Commiss spokesman/zambias,thirtyfive,weekly
Commiss they/RAISE ORIENT,Orient,EXPRESSOEH
Commission/ccx,zondervan,salary
Commission Ray/Nendick,fourforone,capit Jardine
Commission Rod/Implement,Lang,Sitiven
Committe/rider,Hous Armed,Embassy
Committe Chairman/Proxmir,Meet,middleclass
Committe sources/Members,Walli,said Later
Committe to/authorized,Stockhold,Value
Committee/charged,CFF,procedures
Commod/HIGHER IN,Maybe,Englebright
Commod Credit/Serva,islands,August 15-November
Common/introduced,forcast,PanCanadian
Commonwealth/Implement,Lang,Sitiven
Commonwealth Aluminum/Columbia Aluminum,wouldbe,Hermiston
Commonwealth Edison/cwe,EDISON,discharg
Commun/CXR Telcom,Westworld,nonbroadcast
Commun Nutrition/safer,Institut "Company,inspectors
Commun Satellite/Reuter...M,Intelstat,partisan
Communications/Venture,j.,presidents
Communicaton/U.S district,contstitut,denbentur
Communist/year's,alcohol,Separ
Community/hierarchy,charged,rican
Comoros/Burnudi,Somalia,Djibouti
Compact/compact,prioryear,Dunhill
Compagni/FIVEYEAR,Turin,MLN SFR
Compagnia/Continental Simmons,Gulf and,<gw>,
Compani/BJIC.O,brooklyn,MARBLE FINANCIAL
Compani (KOTC)/Fattah,AlAnbaa,alBader
Compani is/bla,BRITISH LAND,00360101
Companies/Armen,Chemical,illadvised
Company/Monsanto Chemical,polyphenyls,EuropeAfrica
Companywide/volumes,wmb,William Cos
Compaq/cpq,Canion,Rod
Compaq Computer/cpq,Canion,Rod
Competit/financially.,Jackaman,Worts
Complaint/import Kato,Hideo Maki,,Maki
Complet/Coloni BancGroup,MAXI.O,Swift
Complete/Maxicar Health,Alabama,MAXI.O
Compon/Morgan Guaranty,multi,inc>
Compound/Higher,endMarch,compound
CompuTrac/computrac,llb,hand
CompuTrac Inc/computrac,llb,CompuTrac
Comput/ccs,auxton,Delux
Comput Associates/Uccel,UCCEL,Wyly
Comput Memories/Hemdal,conven One,CMIN.O
Computer/ninecounty,Tandem,Wyly
Computerland/Millard,Although the,Levi
Computerland Corp/E.M Warburg,computerland,Pincu
Comsat/Reuter...M,Intelstat,partisan
Comserv/Manag Science,19000428,msai
Comstock/spie,SCHN.PA,Batignolles a
ConAgra/predictable,H.J,Thereafter
Conabl/overstep,Financi Corporation,",grasp
Conable/preval,differently,peasent
Concentr/Smelter Corp,brunswick,miners
Concepcion/Ho,U.S Commerce,Governor David
Concern/protected,sabotag,supplant
Concessionaires/lex,Volvo,Vehicl Leasing
Concord/emcore,Ventur Capital,emcor
Condit/Suiker,J.P Morgan,nonaccruing
Condon/reduced,predictions,AWB
Conerg/baggag,discrepancy,Stearn Airport
Confectioneri/TAW,Bonnbased,W.GERMAN COCOA
Confeder/Livre,shaken,Lisbon
Conference/Coopervis chairman,Parker,eye
Conger/Homestak,hm,McLaughlin
Congress/BANK CAN,introduces,supplant
Congress that/mind.,State Mexico,,bills.
Congress./trademarket,stern.,sense.
Congression/Gramlich,mind.,relabel
Conif/restatement,NOTEFirst,BKNE.O
Coniston/Hertz,Takeov,coniston
Conn/Diversifi,DIVERSIFIED INDUSTRIES,Atwood
Conn for/Greeneri,HEALTH PROPERTIES,GRGI.O
Connecticut/Florida and,Atwood,buiness
Conneticut/Delawarechartered,SOCIETY FOR,Save Bancorp
Conoco/After the,Oljeselskap A/S,Armen
Conoco Inc,/duPont,Conoco posted,deNemour
Conoco posted/duPont,Conoco Inc,,deNemour
Conrac/computerrelated,architectur,CodeAPhone
Conrac Corp/computerrelated,architectur,CodeAPhone
Conrad/Telegraph chief,holllinger,year Daily
Consequently/Colleg,Chapman,Widespread
Conserv/Ceroni,USDA cut,agrimont
Consider/leadmanage,stalls,misalloc
Consolid/objects,Union said,hierarchy
Consolid Silver/TOTAL ERICKSON,Erickson,Consolid interests
Consolid interests/TOTAL ERICKSON,Consolid Silver,Erickson
Consolidated/M.A Hanna,M.A HANNA,HNM
Constanza/Radnik,Casablanca,Legionario
Constitucion/Blanca,Blanca increased,Aires
Construct/unspecified,-room,flotations
Consul/CNSL.O,nontendering,deadlin
Consul Restaurant/Consul,CNSL.O,nontendering
Consult/Paramus,Armen,Wayne
Consum/Iowa State,carcass,Januari 1.1
Consum Power/POWER,mortgag,cms
Consumers/positiive,maysell,Internat Rubber
Consumpt/XBased on,Tonnes,123.08
Contac/skb,tamper,SMITHKLINE BECKMAN
Contact/introduced,SLOW,Sarawak
Contain/medco,porex,STO
Contel/Reuter...M,Intelstat,ctc
Contel Corp's/lossriden,Atlantabased,ctc
Contempori/State could,Germani now,depreciation
Contin/features,Pallic,Buenaventura
Continent/nonbroadcast,balanced,DIS
Continent Associates,/STOCKHOLDERS WON'T,Materi,cuo
Continent Bank/Canadian dlr,Lloyds,retract
Continent Grain,/LOADING,CARGILL,ZENNOH
Continent Gummi-Werke/Automobil,reviews,ADAC
Continent Materials/CONTL MATERIALS,consideration,cuo
Continent Materials,/Continent Materials,CONTL MATERIALS,consideration
Continental Simmons/Gulf and,<gw>,,Sleepeeze
Continu/xminus,USDAprojected,Accumul
Continued/gorw,thus,alreadysubstantial
Contract/progas,Burrillville,ProGa Ltd
Contractu/Duri,Minas,osp
Contrari/favourable.,forestalled,resignation
Control/CDA,salad,Ellen
Convent/ACP,acp,Jamaican
Convention/Bruyn,margarin,margarine
Converg/CONVERGENT TECHNOLOGIES,OEM,-mln-dlr
Converg Technologies/CONVERGENT TECHNOLOGIES,Converg,OEM
Convert/nesb,italian,itali
Convert Currency/unch,Circul,apr
Convinc/nib,guinea,retrospect
Coodin/femal,Unadjust,people
Cook/ninecounty,Tandem,Keller
Cookevil/Memphisbased,Bancorp Inc>,CBC
Cool/NCNG,unwit,slows
Cooper/FRANCE,Januari 1.1,Bundesbank council,
Cooper Fund/Johor,Matsuya said.,viable.
CooperEromanga/RomaBrisbane,CSR SAYS,Ltd <STOS.S>-led
Cooperative/Quinci,COBK.O,QBCK.O
Cooperative Bancorp/Quinci,COBK.O,QBCK.O
Coopervis/Conference,Parker,eye
Coopervis Inc/Coopervis chairman,Conference,Parker
Coopervis chairman/Conference,Parker,eye
Copa/pea,Kjeldsen,proteins
Copenhagen/Uffe,pigmeat,Tidende
Copi/COPY INTERNATIONAL>,Interact,Aid
Copi majority/COPY INTERNATIONAL>,Aid,w GERMAN
Copper/hierarchy,Wednesbury,todai A
Copperbelt/deterg,youth,Lusaka
Copra/polysatur,trees,nonfood
Coquil/allegedli,beggarmyneighbour,oven
Coradian/CDIN.O,sage,Sage
Coradian Corp/CDIN.O,sage,Sage
Corazon/BANK CAN,neighbourhood,U.S Commerce
Corbi/Wine,seper,CDL.TO
Corbi Distilleries/Wine,seper,CDL.TO
Corby/financially.,Jackaman,Worts
Cordero/Cambio,Domingo,brother
Cordesman/silkworms,Abba,fallout
Cordoba/feared,Chaco,Santa Fe
Cori/USGMorocco,Great Lakes,Algeria at
Corn/Stocks,mediumshort,HIGHLIGHTS
Cornerston/CENTER,Burgdorff,Realtors
Corona/corona,FAVORS ROYEX,Royex
Corp/cci,guards,capacity.
Corp (IGL)./divisions,archerdaniels,ArcherDanielsMidland
Corp <CHV>/TNS,Chevron Exploration,multiplatform
Corp <STB>/technical,cures,Md.
Corp Eastern/TEXAS AIR,SystemOn Corp,,Texa Air
Corp Holdings/Reuter Ramon,Adelaid,WMC
Corp Inc>,/17,,achievable,disposed
Corp International/Hung,HKLD.HK,H.K Dlrs.
Corp TRANSOHIO/Septemb 19.,TRANSOHIO,Columbu
Corp a/Amrel,completing,Woolworth
Corp for/Holli Sugar,Equitabl,Investment Corp,
Corp on/FSLIC since,Coast Savings,Joaquin
Corp said/pres,Fusco,mokg
Corp the/Stanadyn Inc,Stanadyn said,,AMBAC
Corp./ninecounty,Tandem,Keller
Corpor/HIGHER IN,sake,comment GAF
Corpor Life/piezo,Chester,Piezo
Corporation/August 15-November,British Broadcasting,Radio monitored
Corpoven/isomer,orthoxylen,hydrodealkyl
Correct/CORRECTEDNATIONAL WESTMINSTER,usast,NOTE <National
Corrects/Newmont Mining,newmont,DU
Corrientes/feared,Chaco,Santa Fe
Cos/Protect Life,PROTECTIVE LIFE,Liberty
Cosbi/Amusement,motion,Viacom International
Cosentino/Minntech Corp,mntx,membran
Cosmo/through. "In,Bastia,deregulatori
Cost/KLM.AS,sights,said During
Costa/shaken,Lisbon,droughtinduced
Costa Rican/growers,guatemala,Guatemala
Cotton/poroduct,Hot,lint
Cotton Certificates/upland,SLM,Adjustment
CottonY/xminus,USDAprojected,Accumul
Could/Might,hearten,Japan on
